spp_code,stories,below_crown_height,height,estimated_height,DBH
6543,over,,,928,11
6543,over,,,928,11
6543,over,,,1074,16
6543,over,,,1074,16
6543,under,,,805,8
6543,over,,,1160,20
6543,over,,,805,8
6543,over,,,993,13
6543,over,,,928,11
6543,over,,,753,7
6543,over,,,805,8
6543,over,,,1022,14
6543,over,310,1250,1214,23
6543,over,,,891,10
6580,over,360,1480,1223,20
6580,over,,,1047,13
6580,over,,,1132,16
6580,over,,,1180,18
6580,over,280,1050,1077,14
6580,over,,,849,8
6580,over,,,897,9
6580,over,510,880,897,9
6580,over,,,1132,16
6580,over,,,979,11
6580,over,,,1180,18
6580,over,,,1223,20
6580,over,,,1223,20
6580,over,,,1180,18
6580,over,,,794,7
6580,over,600,1160,1202,19
6580,over,,,1157,17
6580,under,,,731,6
6580,over,,,940,10
6580,over,,,1202,19
6580,over,,,1262,22
6580,over,,,1202,19
6543,over,,,962,12
6543,over,,,1074,16
6543,over,,,962,12
6543,under,,,891,10
6543,over,270,1200,1049,15
6543,over,,,1074,16
6543,over,,,1074,16
6543,over,,,1097,17
980,over,350,770,843,11
7464,over,,,857,13
7464,under,,,769,10
1008,over,300,760,905,15
6580,over,,,1157,17
6580,over,370,870,1280,23
6580,over,600,1010,1047,13
6580,over,,,940,10
6580,over,,,1014,12
6580,over,750,1100,1077,14
6543,over,,,1074,16
6543,over,260,1080,1097,17
6543,over,,,753,7
6543,over,490,880,891,10
6543,over,,,1049,15
6543,over,,,1074,16
6543,over,,,962,12
6543,over,,,1097,17
980,under,,,684,7
6543,over,380,840,1197,22
6543,over,300,990,1119,18
6543,over,,,962,12
6543,over,,,891,10
6543,over,,,1022,14
6543,over,,,891,10
6543,over,,,1119,18
6543,over,,,993,13
6543,over,,,1049,15
6543,under,,,851,9
1008,over,,,830,12
1008,over,,,801,11
1008,over,550,1250,905,15
1008,under,,,598,6
11484,over,420,970,946,17
11484,over,,,946,17
11673,over,,,650,7
980,over,,,1017,18
980,under,,,810,10
980,over,,,773,9
980,over,,,952,15
980,under,,,630,6
980,over,420,880,874,12
980,over,430,790,630,6
980,over,,,630,6
11673,over,,,695,8
1038,over,,,801,11
1008,over,,,1033,22
1008,over,,,882,14
1008,under,,,650,7
11673,under,,,598,6
980,over,210,1050,1146,26
980,over,,,1017,18
980,over,,,1087,22
980,over,,,684,7
980,over,,,1017,18
980,over,,,952,15
980,under,,,684,7
980,under,,,684,7
980,over,420,860,773,9
980,over,,,975,16
1008,over,,,1075,25
1008,over,,,984,19
1008,over,280,950,1001,20
1008,over,,,769,10
16962,over,260,860,984,19
16962,under,,,650,7
16962,over,400,800,857,13
16962,over,,,926,16
1008,over,,,966,18
1008,under,,,769,10
1008,over,410,740,801,11
6580,over,,,849,8
6580,under,,,731,6
6580,under,,,794,7
6580,over,,,979,11
6580,over,,,1077,14
6580,over,560,1190,1132,16
6580,over,,,1077,14
6580,over,,,897,9
6580,over,,,849,8
6580,over,,,940,10
6580,over,,,940,10
6580,over,,,849,8
6580,over,,,897,9
6580,over,,,940,10
6580,over,,,1157,17
6580,over,,,1047,13
6580,over,,,849,8
6580,under,,,1047,13
6580,over,,,940,10
6580,over,,,940,10
6580,over,550,1160,1202,19
6580,over,,,1132,16
6543,over,,,1074,16
6543,over,,,962,12
6543,over,,,928,11
6543,over,,,753,7
6543,over,,,851,9
6543,over,,,1074,16
6543,over,,,1022,14
6543,over,,,805,8
6543,over,,,962,12
6543,over,,,805,8
6543,over,,,993,13
6543,over,,,851,9
6543,over,,,851,9
6543,over,580,900,928,11
6543,over,,,851,9
6543,over,,,962,12
6543,over,,,1049,15
6543,over,480,860,805,8
6543,over,,,993,13
6543,over,,,993,13
6543,over,500,960,851,9
6543,over,180,880,1022,14
6543,over,,,805,8
6543,over,,,694,6
6580,over,,,731,6
6580,over,,,794,7
6580,over,,,1106,15
6580,over,,,849,8
6543,over,,,753,7
6543,over,,,928,11
6543,over,,,891,10
6543,over,,,805,8
6543,over,,,753,7
6543,over,250,870,694,6
6543,under,,,753,7
6543,over,,,1022,14
6543,over,,,1022,14
6543,over,,,753,7
6543,over,,,962,12
6543,over,,,993,13
6543,over,260,920,1179,21
6543,over,,,1097,17
6543,over,,,1049,15
6543,over,,,962,12
6543,over,,,805,8
6543,over,,,928,11
6543,over,480,1030,962,12
6543,over,,,1097,17
6543,over,,,891,10
6543,over,,,928,11
6543,over,,,694,6
6543,over,,,962,12
6543,over,,,805,8
6543,over,,,1049,15
6543,over,,,694,6
6543,over,,,694,6
6543,under,,,753,7
6543,over,,,851,9
6543,over,,,928,11
6543,over,,,962,12
6543,over,,,805,8
6543,over,,,993,13
6543,over,,,962,12
6543,over,,,851,9
6543,over,,,891,10
6543,over,,,1022,14
6543,over,,,1022,14
6543,over,,,1074,16
6543,over,,,962,12
6543,under,,,891,10
6543,over,,,1097,17
6543,over,,,1276,27
6543,over,,,1097,17
6543,over,,,1179,21
6543,over,,,1097,17
6543,over,,,1119,18
6505,over,,,1017,21
6505,over,,,598,6
6505,over,,,769,10
6505,over,,,830,12
6505,over,,,734,9
6505,over,,,650,7
6505,over,,,769,10
6505,under,,,650,7
6505,over,,,734,9
6505,over,,,734,9
12725,over,,,1047,23
6505,over,,,946,17
6505,over,,,857,13
6505,over,,,857,13
2024,over,,,830,12
6505,over,,,769,10
1008,over,,,882,14
1008,over,,,905,15
1008,over,,,905,15
6505,over,,,695,8
6505,over,,,695,8
2024,over,,,650,7
6505,over,430,1020,946,17
6505,over,,,857,13
6505,under,,,598,6
2024,over,,,801,11
6505,over,,,926,16
6505,over,,,857,13
6505,over,,,801,11
6505,over,,,734,9
6505,over,,,650,7
6505,over,,,882,14
12725,over,,,926,16
6505,over,,,769,10
6591,over,,,776,8
6512,over,,,859,10
17215,over,,,726,7
17215,over,320,640,776,8
17234,over,410,780,726,7
22415,over,390,1200,1079,18
6617,under,,,669,6
20114,over,,,820,9
20114,over,,,669,6
20114,over,,,776,8
20114,over,,,776,8
8931,over,,,820,9
12930,over,,,634,7
12930,over,380,740,716,9
12930,over,,,716,9
12930,over,320,1020,860,14
12930,over,290,1050,836,13
12930,over,,,750,10
6476,over,,,638,8
6476,over,,,597,7
6476,over,,,638,8
6476,under,,,597,7
6476,under,,,550,6
6476,over,,,638,8
6476,over,,,597,7
6476,over,,,707,10
6476,over,,,674,9
6476,over,,,707,10
6476,over,,,550,6
6476,over,,,597,7
6476,over,,,674,9
6476,over,,,638,8
6476,over,330,620,597,7
6476,over,520,910,787,13
6476,over,440,720,736,11
6476,over,280,690,763,12
6476,under,,,550,6
6476,over,,,638,8
6476,over,,,736,11
6476,over,,,638,8
6476,over,,,763,12
6476,over,,,707,10
6476,over,,,736,11
6476,over,,,736,11
6476,over,,,674,9
6476,over,,,550,6
6476,over,400,910,810,14
12930,over,,,584,6
22415,over,330,1270,1269,30
22415,over,560,1240,1011,15
22415,over,,,776,8
22415,over,,,895,11
20114,over,,,1011,15
22415,over,590,1000,927,12
22415,over,,,957,13
22415,over,,,927,12
20114,over,,,927,12
12230,over,320,650,859,10
12230,over,,,895,11
12930,over,,,634,7
12930,over,,,634,7
12930,over,,,678,8
12930,over,,,836,13
12930,over,,,584,6
12930,over,,,860,14
12930,over,450,980,883,15
12930,over,,,716,9
12930,over,,,782,11
15014,over,,,1228,21
15014,over,850,1600,1467,38
15014,over,750,1400,1314,26
15014,over,510,1160,1265,23
15014,over,,,1247,22
15014,over,,,928,10
15014,over,620,1000,1143,17
15014,over,630,1200,1208,20
15014,over,,,1467,38
15014,over,,,1247,22
15014,over,,,886,9
15014,under,,,838,8
6476,over,,,736,11
6476,over,,,674,9
6476,over,500,900,736,11
6476,over,,,707,10
6476,over,,,810,14
6476,over,360,940,934,21
6476,over,,,736,11
6476,under,,,550,6
6476,under,,,674,9
20114,under,,,895,11
20114,under,,,820,9
20114,under,,,726,7
20114,under,,,820,9
20114,under,,,820,9
20114,under,,,776,8
10948,under,,,776,8
10948,under,,,726,7
20114,under,,,669,6
20114,over,,,726,7
20114,under,,,669,6
20114,under,,,776,8
20114,under,580,920,820,9
18736,over,,,1011,15
20114,under,,,1035,16
6525,over,,,726,7
6617,over,,,776,8
6525,over,,,726,7
6591,over,,,726,7
6525,over,,,726,7
6525,over,420,860,1099,19
20114,over,,,726,7
20114,over,,,776,8
20114,over,,,669,6
18736,under,,,726,7
20114,under,,,726,7
